Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI 🏆,W/10 👍,I/10 💡,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore 🏆,Reg+Int 🏆,MyScore 🏆,ASSS⬇️,SMOG⬆️,Yule⬇️,Score 🏆,Dif,Cor,Std,Foundation
8/1/2024,8/6/2024,12,12.0,12.0,aetherwiing/MN-12B-Starcannon-v2,https://huggingface.co/mradermacher/MN-12B-Starcannon-v2-GGUF,43.06,7.272727273,3.295269731,48.3,21.2,33.3,52.1,60.3,0.272,0.355,0.20,5.11,7.42,1.44,0.196,2.27,0.20,1.31,0
2/21/2024,,103,103.0,103.0,MarsupialAI/Melusine_103b,https://huggingface.co/MarsupialAI/Melusine_103b,42.73,8.181818182,2.646563395,51.7,21.5,44.8,44.7,51.0,0.153,0.239,0.10,8.05,6.72,1.79,0.139,2.07,-0.03,1.30,0
9/27/2024,9/30/2024,22,22.0,22.0,TheDrummer/Cydonia-22B-v1.1,https://huggingface.co/TheDrummer/Cydonia-22B-v1.1,42.72,7.272727273,4.476323459,74.2,25.3,54.2,37.3,22.7,0.097,0.201,0.05,8.82,7.70,1.86,0.025,2.07,-0.42,0.54,0
7/18/2023,,70,70.0,70.0,meta-llama/Llama-2-70b,https://huggingface.co/meta-llama/Llama-2-70b,42.51,9.090909091,3.619115693,65.8,30.9,42.6,30.2,43.0,0.069,0.246,0.05,11.01,8.63,1.89,0.162,2.27,0.12,1.83,1
4/15/2024,,8x22B,39.0,141.0,microsoft/WizardLM-2-8x22B,https://huggingface.co/MaziyarPanahi/WizardLM-2-8x22B-GGUF,42.45,2.727272727,6.777369561,55.8,39.9,35.3,39.9,41.3,0.503,0.427,0.60,5.59,7.55,1.64,0.019,2.20,-0.49,0.62,0
10/4/2024,10/5/2024,9,9.0,9.0,TheDrummer/Tiger-Gemma-9B-v3,https://huggingface.co/TheDrummer/Tiger-Gemma-9B-v3,42.43,10,2.604563944,66.7,15.0,45.0,57.5,28.0,0.157,0.195,0.10,7.69,9.77,1.65,0.056,2.53,-0.09,0.85,0
3/30/2024,,70,70.0,70.0,Undi95/Miqu-MS-70B,https://huggingface.co/Undi95/Miqu-MS-70B,42.40,2.727272727,4.544426619,47.5,59.0,32.6,38.6,34.3,0.163,0.328,0.15,8.08,7.49,1.67,0.167,2.07,0.05,1.28,0
5/16/2024,,70,70.0,70.0,ddh0/MiquSuperdark-70B-v2,https://huggingface.co/ddh0/MiquSuperdark-70B-v2,42.21,5.454545455,4.972999123,46.7,37.3,44.6,46.4,36.0,0.251,0.273,0.30,8.09,8.12,1.50,0.132,2.00,-0.07,1.15,0
9/18/2024,9/28/2024,22,22.0,22.0,TheDrummer/Cydonia-22B-v1,https://huggingface.co/TheDrummer/Cydonia-22B-v1,42.16,7.272727273,3.809656793,70.0,21.8,36.8,28.6,53.7,0.230,0.256,0.25,5.28,6.69,1.57,0.104,1.87,-0.16,0.82,0
5/28/2024,,70,70.0,70.0,failspy/Meta-Llama-3-70B-Instruct-abliterated-v3.5,https://huggingface.co/failspy/Meta-Llama-3-70B-Instruct-abliterated-v3.5,42.06,5.909090909,5.019885044,57.5,45.5,45.3,33.4,28.7,0.137,0.320,0.05,6.87,9.15,1.81,0.000,NA,NA,NA,0
